"species" "Genus" "Family" "Order" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "RangeSize_km2" "IUCN_status" "Riparian_sp" "BodyWidth_mm" "BodyHeight_mm" "Head_length_mm" "Head_width_mm" "Eye_area_mm2" "Antenna_length_mm" "Mandible_length_mm" "Proximal_mandible_width_mm" "Front_leg_length_mm" "Mid_leg_length_mm" "Hind_leg_length_mm" "Wing_morphology" "Elytra_length_mm" "Elytra_width_mm" "Wing_length_mm" "Wing_width_mm" "Wing_area_mm2" "Hairiness_total" "Colour_lightness" "Biotope_range" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Stenurella hybridula" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 51065.1291417918 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenurella hybridula (Reitter, 1902)" "SPECIES" "Stenurella" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Stenurella melanura" NA "Cerambycidae" "Coleoptera" 11.57 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Omnivorous" NA "polyphagous" 0 1 0 0 0 0 1 0 NA NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA 2.883 2.929 2.135 1.693 0.441 8.202 0.447 0.205 3.768 4.705 6.515 NA 6.391 1.392 7.729 2.991 19.825 28.981 115.84 NA "Stenurella melanura (Linnaeus, 1758)" "SPECIES" "Stenurella" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenurella nigra" NA "Cerambycidae" "Coleoptera" 7.51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.896 2.062 1.448 1.35 0.294 4.456 0.492 0.109 3.15 3.995 5.466 NA 5.176 0.963 6.423 2.5 12.58 9.32 113.3 NA "Stenurella nigra (Linnaeus, 1758)" "SPECIES" "Stenurella" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenurella septempunctata" NA "Cerambycidae" "Coleoptera" 9.386 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.476 2.377 1.772 1.443 0.433 7.755 0.616 0.263 3.657 4.595 6.471 NA 6.083 1.226 7.687 2.785 18.602 28.453 133.59 NA "Stenurella septempunctata (Fabricius, 1793)" "SPECIES" "Stenurella" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus brunnipes" NA "Staphylinidae" "Coleoptera" 3.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus brunnipes Stephens, 1833" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus canaliculatus" NA "Staphylinidae" "Coleoptera" 3.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus canaliculatus Gyllenhal, 1827" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus cicindeloides" NA "Staphylinidae" "Coleoptera" 5.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus cicindeloides (Schaller, 1783)" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus circularis" NA "Staphylinidae" "Coleoptera" 2.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus circularis Gravenhorst, 1802" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus clavicornis" NA "Staphylinidae" "Coleoptera" 5.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus clavicornis (Scopoli, 1763)" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus flavipes" NA "Staphylinidae" "Coleoptera" 3.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus flavipes Stephens, 1833" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus fulvicornis" NA "Staphylinidae" "Coleoptera" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus fulvicornis Stephens, 1833" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus geniculatus" NA "Staphylinidae" "Coleoptera" 4.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus geniculatus Gravenhorst, 1806" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus impressus" NA "Staphylinidae" "Coleoptera" 4.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus impressus Germar, 1823" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus pallipes" NA "Staphylinidae" "Coleoptera" 3.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus pallipes Gravenhorst, 1802" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus pusillus" NA "Staphylinidae" "Coleoptera" 2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus pusillus Stephens, 1833" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stenus similis" NA "Staphylinidae" "Coleoptera" 5.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stenus similis (Herbst, 1784)" "SPECIES" "Stenus" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stephanopachys brunneus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7459.62165409384 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stephanopachys brunneus (Wollaston, 1862)" "SPECIES" "Stephanopachys" "Bostrichidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Stephanopachys linearis" NA "Bostrichidae" "Coleoptera" 4.908 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.473 1.375 0.625 1.037 0.055 0.776 0.298 0.08 1.192 1.172 1.148 NA 3.257 0.733 5.192 1.974 8.547 16.803 108.6 NA "Stephanopachys linearis (Kugelann, 1792)" "SPECIES" "Stephanopachys" "Bostrichidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stephanopachys substriatus" NA "Bostrichidae" "Coleoptera" 4.273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.57 1.385 0.577 1.013 0.039 0.831 0.247 0.176 1.104 1.025 1.149 NA 2.764 0.733 4.86 2.014 7.164 17.902 105.04 NA "Stephanopachys substriatus (Paykull, 1800)" "SPECIES" "Stephanopachys" "Bostrichidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stephostethus alternans" NA "Latridiidae" "Coleoptera" 2.377 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.124 0.786 0.336 0.467 0.014 0.785 0.187 0.041 0.972 0.902 0.919 NA 1.575 0.556 2.836 0.975 2.02 0 NA NA "Stephostethus alternans (Mannerheim, 1844)" "SPECIES" "Stephostethus" "Latridiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stephostethus pandellei" NA "Latridiidae" "Coleoptera" 2.28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.995 0.759 0.383 0.407 0.015 0.646 0.122 0.047 0.841 0.822 0.898 NA 1.419 0.449 2.668 0.927 1.944 0 NA NA "Stephostethus pandellei (Brisout de Barneville, 1863)" "SPECIES" "Stephostethus" "Latridiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stephostethus rugicollis" NA "Latridiidae" "Coleoptera" 1.938 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.889 0.566 0.366 0.386 0.011 0.58 0.151 NA 0.988 0.982 1.043 NA 1.228 0.467 2.925 0.969 2.171 16.906 NA NA "Stephostethus rugicollis (Olivier, 1790)" "SPECIES" "Stephostethus" "Latridiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stereocorynes truncorum" NA "Curculionidae" "Coleoptera" 3.837 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.144 0.903 0.921 0.663 0.025 0.829 0.359 0.099 0.863 1.165 1.261 NA 2.262 0.466 3.181 1.07 2.724 0 NA NA "Stereocorynes truncorum (E.F.Germar, 1823)" "SPECIES" "Stereocorynes" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stereonychus fraxini" NA "Curculionidae" "Coleoptera" 3.1 NA NA 3 3.2 NA NA NA NA NA NA 0 1 0 0 0 0 0 1 NA NA "Herbivorous" NA "monophagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 1 NA 0 1 1 0 0 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stereonychus fraxini (C.DeGeer, 1775)" "SPECIES" "Stereonychus" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura cordigera" NA "Cerambycidae" "Coleoptera" 14.397 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.784 4.408 3.28 2.667 1.483 12.976 0.53 0.345 4.687 6.909 9.378 NA 9.817 2.12 12.059 4.755 49.17 24.818 102.48 NA "Stictoleptura cordigera (Fuesslins, 1775)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura erythroptera" NA "Cerambycidae" "Coleoptera" 16.588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.974 4.947 2.766 2.604 0.96 10.991 1.23 0.533 6.246 7.868 8.905 NA 9.808 2.239 14.095 4.884 56.735 13.761 120.24 NA "Stictoleptura erythroptera (Hagenbach, 1822)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura fulva" NA "Cerambycidae" "Coleoptera" 10.833 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.6 3.298 2.257 2.17 0.904 11.274 0.791 0.358 5.055 5.706 6.879 NA 4.405 1.812 9.888 3.205 29.053 28.375 113.57 NA "Paracorymbia fulva (Degeer, 1775)" "SPECIES" "Paracorymbia" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura ivoroberti" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2498.04025376434 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stictoleptura ivoroberti Sama, 2010" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "DATA_DEFICIENT"
"Stictoleptura maculicornis" NA "Cerambycidae" "Coleoptera" 9.587 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.04 2.872 2.039 1.745 0.498 6.624 0.639 0.136 3.588 4.297 5.236 NA 5.381 1.489 7.916 2.97 19.117 19.109 117.06 NA "Paracorymbia maculicornis (Degeer, 1775)" "SPECIES" "Paracorymbia" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura palmi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356.360015377702 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stictoleptura palmi (Demelt, 1972)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Stictoleptura rubra" NA "Cerambycidae" "Coleoptera" 20.528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.51 5.166 3.576 3.09 1.083 12.559 1.405 0.381 6.754 8.385 10.81 NA 12.856 2.307 16.03 5.431 75.396 21.164 115.28 NA "Stictoleptura rubra (Linnaeus, 1758)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura scutellata" NA "Cerambycidae" "Coleoptera" 15.283 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.938 4.454 3.78 3.079 1.253 12.05 1.153 0.466 6.338 7.523 8.957 NA 10.307 2.449 12.503 3.853 43.801 4.849 110.88 NA "Stictoleptura scutellata (Fabricius, 1781)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stictoleptura slamai" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 243.401456088178 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stictoleptura slamai Sama, 2010" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "DATA_DEFICIENT"
"Stictoleptura trisignata" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 70356.9819408115 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stictoleptura trisignata (Fairmaire, 1852)" "SPECIES" "Stictoleptura" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Stilbus atomarius" NA "Phalacridae" "Coleoptera" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Omnivorous" NA NA 0 0 1 0 0 1 1 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stilbus atomarius (Linnaeus, 1767)" "SPECIES" "Stilbus" "Phalacridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stilbus oblongus" NA "Phalacridae" "Coleoptera" 1.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Omnivorous" NA "polyphagous" 0 0 1 0 0 1 1 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stilbus oblongus (Erichson, 1845)" "SPECIES" "Stilbus" "Phalacridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stilbus testaceus" NA "Phalacridae" "Coleoptera" 3.05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Omnivorous" NA "polyphagous" 0 0 1 0 0 1 1 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Stilbus testaceus (Panzer, 1797)" "SPECIES" "Stilbus" "Phalacridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stomis pumicatus" NA "Carabidae" "Coleoptera" 7.13333333333333 NA NA 6.8 8.5 NA NA NA 120 NA NA NA NA NA NA 0 0 0 1 "Cathemeral" NA "Carnivorous" NA "polyphagous" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 1 1 1 1 NA 1 1 0 NA 0 0 0 NA NA NA NA NA NA NA NA 0.333333333333333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "dimorphy" NA NA NA NA NA NA NA NA "Stomis pumicatus (Panzer, 1796)" "SPECIES" "Stomis" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Stomis pumicatus subsp. pumicatus" "Stomis" NA "Coleoptera" 7 NA NA 6 8 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 NA 0 0 0 0 0 0 0 0 0 0 NA 0 1 0 NA NA NA NA 0.5 1 1 1 1 0 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA "dimorphy" NA NA NA NA NA NA NA "stenotop" "Stomis pumicatus pumicatus" "SUBSPECIES" "Stomis" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Stomis rostratus subsp. rostratus" "Stomis" NA "Coleoptera" 7.5 NA NA 7 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 1 0 0 1 0 0 0 0 0 0 NA 0 1 0 NA NA NA NA 0.25 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" "Stomis rostratus rostratus" "SUBSPECIES" "Stomis" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Strangalia attenuata" NA "Cerambycidae" "Coleoptera" 14.424 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.856 2.839 2.083 2.016 0.879 8.973 0.778 0.347 4.865 6.684 8.796 NA 8.354 1.434 9.648 3.142 25.764 21.326 128.56 NA "Strangalia attenuata (Linnaeus, 1758)" "SPECIES" "Strangalia" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Strophosoma capitatum" NA "Curculionidae" "Coleoptera" 4.1 NA NA 3 5.2 NA NA NA NA NA NA NA NA NA NA 0 1 0 1 NA NA "Herbivorous" NA "polyphagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 1 1 1 1 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Strophosoma capitatum (DeGeer, 1775)" "SPECIES" "Strophosoma" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
