species,genus,family,order,class,scheme
Ptilophora plumigera,Ptilophora,Notodontidae,Lepidoptera,Insecta,terrestrial
Ptinomorphus imperialis,Ptinomorphus,Anobiidae,Coleoptera,Insecta,terrestrial
Ptinus fur,Ptinus,Ptinidae,Coleoptera,Insecta,terrestrial
Ptinus sexpunctatus,Ptinus,Ptinidae,Coleoptera,Insecta,terrestrial
Ptinus subpilosus,Ptinus,Ptinidae,Coleoptera,Insecta,terrestrial
Ptychodium plicatum,Lescuraea,Pseudoleskeaceae,Hypnales,Bryopsida,terrestrial
Ptyonoprogne rupestris,Ptyonoprogne,Hirundinidae,Passeriformes,Aves,terrestrial
Puccinellia distans,Puccinellia,Poaceae,Poales,Liliopsida,terrestrial
Puccinia coronata,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,terrestrial
Puccinia hieracii,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,terrestrial
Puccinia lagenophorae,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,terrestrial
Puccinia malvacearum,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,terrestrial
Puccinia punctata,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,terrestrial
Pucciniastrum areolatum,Thekopsora,Pucciniastraceae,Pucciniales,Pucciniomycetes,terrestrial
Pucciniastrum epilobii,Pucciniastrum,Pucciniastraceae,Pucciniales,Pucciniomycetes,terrestrial
Pulicaria dysenterica,Pulicaria,Asteraceae,Asterales,Magnoliopsida,terrestrial
Pulmonaria australis,Pulmonaria,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Pulmonaria mollis alpigena,Pulmonaria,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Pulmonaria montana,Pulmonaria,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Pulmonaria obscura,Pulmonaria,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Pulmonaria officinalis,Pulmonaria,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Pulsatilla alpina,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Pulsatilla halleri,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Pulsatilla montana,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Pulsatilla vernalis,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Pulsatilla vulgaris,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Pulvinula convexella,Pulvinula,Pulvinulaceae,Pezizales,Pezizomycetes,terrestrial
Punctum pygmaeum,Punctum,Punctidae,Stylommatophora,Gastropoda,terrestrial
Pupilla muscorum,Pupilla,Pupillidae,Stylommatophora,Gastropoda,terrestrial
Pupilla triplicata,Pupilla,Pupillidae,Stylommatophora,Gastropoda,terrestrial
Purpuricenus kaehleri,Purpuricenus,Cerambycidae,Coleoptera,Insecta,terrestrial
Pycnoporellus fulgens,Pycnoporellus,Pycnoporellaceae,Polyporales,Agaricomycetes,terrestrial
Pycnoporus cinnabarinus,Trametes,Polyporaceae,Polyporales,Agaricomycetes,terrestrial
Pylaisia polyantha,Pylaisia,Pylaisiaceae,Hypnales,Bryopsida,terrestrial
Pyracantha coccinea,Pyracantha,Rosaceae,Rosales,Magnoliopsida,terrestrial
Pyramidula pusilla,Pyramidula,Pyramidulidae,Stylommatophora,Gastropoda,terrestrial
Pyrenopeziza petiolaris,Pyrenopeziza,Ploettnerulaceae,Helotiales,Leotiomycetes,terrestrial
Pyrenula nitida,Pyrenula,Pyrenulaceae,Pyrenulales,Eurotiomycetes,terrestrial
Pyrgus accreta,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus alveus,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus andromedae,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus armoricanus,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus cacaliae,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus carlinae,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus carthami,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus malvae,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus malvoides,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus onopordi,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrgus serratulae,Pyrgus,Hesperiidae,Lepidoptera,Insecta,terrestrial
Pyrochroa coccinea,Pyrochroa,Pyrochroidae,Coleoptera,Insecta,terrestrial
Pyrochroa serraticornis,Pyrochroa,Pyrochroidae,Coleoptera,Insecta,terrestrial
Pyrola chlorantha,Pyrola,Ericaceae,Ericales,Magnoliopsida,terrestrial
Pyrola media,Pyrola,Ericaceae,Ericales,Magnoliopsida,terrestrial
Pyrola minor,Pyrola,Ericaceae,Ericales,Magnoliopsida,terrestrial
Pyrola rotundifolia,Pyrola,Ericaceae,Ericales,Magnoliopsida,terrestrial
Pyronia tithonus,Pyronia,Nymphalidae,Lepidoptera,Insecta,terrestrial
Pyrrhia umbra,Pyrrhia,Noctuidae,Lepidoptera,Insecta,terrestrial
Pyrrhidium sanguineum,Pyrrhidium,Cerambycidae,Coleoptera,Insecta,terrestrial
Pyrrhocorax graculus,Pyrrhocorax,Corvidae,Passeriformes,Aves,terrestrial
Pyrrhocorax pyrrhocorax,Pyrrhocorax,Corvidae,Passeriformes,Aves,terrestrial
Pyrrhosoma nymphula,Pyrrhosoma,Coenagrionidae,Odonata,Insecta,terrestrial
Pyrrhula pyrrhula,Pyrrhula,Fringillidae,Passeriformes,Aves,terrestrial
Pyrus communis,Pyrus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Pyrus pyraster,Pyrus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Quercus cerris,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Quercus ilex,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Quercus petraea,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Quercus pubescens,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Quercus robur,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Quercus rubra,Quercus,Fagaceae,Fagales,Magnoliopsida,terrestrial
Racomitrium aciculare,Codriophorus,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium affine,Bucklandiella,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium aquaticum,Codriophorus,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium canescens,Niphotrichum,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium canescens canescens,Racomitrium,Grimmiaceae Arn.,Dicranales M.Fleisch.,Bryopsida,terrestrial
Racomitrium elongatum,Niphotrichum,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium ericoides,Niphotrichum,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium lanuginosum,Racomitrium,Grimmiaceae Arn.,Dicranales M.Fleisch.,Bryopsida,terrestrial
Racomitrium macounii,Bucklandiella,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Racomitrium sudeticum,Bucklandiella,Grimmiaceae,Grimmiales,Bryopsida,terrestrial
Radix auricularia,Radix,Lymnaeidae,Pulmonata,Gastropoda,aquatic
Radix balthica,Ampullaceana,Lymnaeidae,Pulmonata,Gastropoda,aquatic
Radix labiata,Peregriana,Lymnaeidae,Pulmonata,Gastropoda,terrestrial
Radula complanata,Radula,Radulaceae,Porellales,Jungermanniopsida,terrestrial
Radulomyces confluens,Radulomyces,Radulomycetaceae,Agaricales,Agaricomycetes,terrestrial
Rallus aquaticus,Rallus,Rallidae,Gruiformes,Aves,terrestrial
Ramalina farinacea,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,terrestrial
Ramalina fastigiata,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,terrestrial
Ramalina fraxinea,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,terrestrial
Ramalina pollinaria,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,terrestrial
Ramaria abietina,Phaeoclavulina,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria aurea,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria botrytis,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria flaccida,Phaeoclavulina,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria flava,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria formosa,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria gracilis,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria largentii,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria pallida,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Ramaria stricta,Ramaria,Gomphaceae,Gomphales,Agaricomycetes,terrestrial
Rana dalmatina,Rana,Ranidae,Anura,Amphibia,terrestrial
Rana latastei,Rana,Ranidae,Anura,Amphibia,terrestrial
Rana temporaria,Rana,Ranidae,Anura,Amphibia,terrestrial
Ranunculus aconitifolius,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus acris,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus acris acris,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus alpestris,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus arvensis,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus breyninus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus bulbosus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus bulbosus bulbosus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus carinthiacus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus circinatus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus ficaria,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus ficaria fertilis,Ficaria,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus ficaria ficaria,Ficaria,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus flammula,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus fluitans,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus glacialis,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus kuepferi,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus lanuginosus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus lingua,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus montanus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus parnassiifolius,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus platanifolius,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus polyanthemophyllus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus repens,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus reptans,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus sardous,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus sceleratus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus serpens,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus thora,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus trichophyllus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus trichophyllus eradicatus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus trichophyllus trichophyllus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,aquatic
Ranunculus tuberosus,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Ranunculus villarsii,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Raphanus raphanistrum,Raphanus,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rapistrum rugosum,Rapistrum,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rattus norvegicus,Rattus,Muridae,Rodentia,Mammalia,terrestrial
Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,terrestrial
Regulus ignicapilla,Regulus,Regulidae,Passeriformes,Aves,terrestrial
Regulus regulus,Regulus,Regulidae,Passeriformes,Aves,terrestrial
Reichlingia leopoldii,Reichlingia,Arthoniaceae,Arthoniales,Arthoniomycetes,terrestrial
Remiz pendulinus,Remiz,Remizidae,Passeriformes,Aves,terrestrial
Reseda lutea,Reseda,Resedaceae,Brassicales,Magnoliopsida,terrestrial
Reseda luteola,Reseda,Resedaceae,Brassicales,Magnoliopsida,terrestrial
Resinicium bicolor,Resinicium,Rickenellaceae,Hymenochaetales,Agaricomycetes,terrestrial
Resupinatus applicatus,Resupinatus,Pleurotaceae,Agaricales,Agaricomycetes,terrestrial
Resupinatus trichotis,Resupinatus,Pleurotaceae,Agaricales,Agaricomycetes,terrestrial
Reynoutria japonica,Reynoutria,Polygonaceae,Caryophyllales,Magnoliopsida,terrestrial
Reynoutria sachalinensis,Reynoutria,Polygonaceae,Caryophyllales,Magnoliopsida,terrestrial
Reynoutria x bohemica,Reynoutria,Polygonaceae,Caryophyllales,Magnoliopsida,terrestrial
Rhabdiopteryx alpina,Rhabdiopteryx,Taeniopterygidae,Plecoptera,Insecta,aquatic
Rhabdiopteryx neglecta,Rhabdiopteryx,Taeniopterygidae,Plecoptera,Insecta,aquatic
Rhabdoweisia fugax,Rhabdoweisia,Rhabdoweisiaceae,Dicranales,Bryopsida,terrestrial
Rhagades pruni,Rhagades,Zygaenidae,Lepidoptera,Insecta,terrestrial
Rhagium bifasciatum,Rhagium,Cerambycidae,Coleoptera,Insecta,terrestrial
Rhagium inquisitor,Rhagium,Cerambycidae,Coleoptera,Insecta,terrestrial
Rhagium mordax,Rhagium,Cerambycidae,Coleoptera,Insecta,terrestrial
Rhagium sycophanta,Rhagium,Cerambycidae,Coleoptera,Insecta,terrestrial
Rhagonycha fulva,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhagonycha lignosa,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhagonycha lutea,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhagonycha nigripes,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhagonycha nigriventris,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhagonycha translucida,Rhagonycha,Cantharidae,Coleoptera,Insecta,terrestrial
Rhamnus alpina,Rhamnus,Rhamnaceae,Rosales,Angiospermae,terrestrial
Rhamnus cathartica,Rhamnus,Rhamnaceae,Rosales,Magnoliopsida,terrestrial
Rhamnus pumila,Rhamnus,Rhamnaceae,Rosales,Angiospermae,terrestrial
Rhamnus saxatilis,Rhamnus,Rhamnaceae,Rosales,Magnoliopsida,terrestrial
Rhinanthus alectorolophus,Rhinanthus,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Rhinanthus angustifolius,Rhinanthus,Orobanchaceae,Lamiales,Angiospermae,terrestrial
Rhinanthus glacialis,Rhinanthus,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Rhinanthus minor,Rhinanthus,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Rhinolophus ferrumequinum,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,terrestrial
Rhinolophus hipposideros,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,terrestrial
Rhithrogena alpestris,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena beskidensis,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,terrestrial
Rhithrogena carpatoalpina,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena dorieri,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena gratianopolitana,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena hybrida,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena loyolaea,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena nivata,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena picteti,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena puthzi,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhithrogena savoiensis,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,terrestrial
Rhithrogena semicolorata,Rhithrogena,Heptageniidae,Ephemeroptera,Insecta,aquatic
Rhizedra lutosa,Rhizedra,Noctuidae,Lepidoptera,Insecta,terrestrial
Rhizina undulata,Rhizina,Rhizinaceae,Pezizales,Pezizomycetes,terrestrial
Rhizochaete radicata,Rhizochaete,Phanerochaetaceae,Polyporales,Agaricomycetes,terrestrial
Rhizomnium magnifolium,Rhizomnium,Mniaceae,Bryales,Bryopsida,terrestrial
Rhizomnium pseudopunctatum,Rhizomnium,Mniaceae,Bryales,Bryopsida,terrestrial
Rhizomnium punctatum,Rhizomnium,Mniaceae,Bryales,Bryopsida,terrestrial
Rhizopogon roseolus,Rhizopogon,Rhizopogonaceae,Boletales,Agaricomycetes,terrestrial
Rhodeus amarus,Rhodeus,Cyprinidae,Cypriniformes,Actinopterygii,aquatic
Rhodiola rosea,Rhodiola,Crassulaceae,Saxifragales,Magnoliopsida,terrestrial
Rhodobryum roseum,Rhodobryum,Bryaceae,Bryales,Bryopsida,terrestrial
Rhodocollybia butyracea,Rhodocollybia,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Rhodocollybia butyracea asema,Rhodocollybia,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Rhodocollybia maculata,Rhodocollybia,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Rhodocollybia prolixa,Rhodocollybia,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Rhodocybe gemina,Clitopilus,Entolomataceae,Agaricales,Agaricomycetes,terrestrial
Rhodocybe nitellina,Rhodophana,Entolomataceae,Agaricales,Agaricomycetes,terrestrial
Rhodocybe popinalis,Clitocella,Entolomataceae,Agaricales,Agaricomycetes,terrestrial
Rhododendron ferrugineum,Rhododendron,Ericaceae,Ericales,Magnoliopsida,terrestrial
Rhododendron hirsutum,Rhododendron,Ericaceae,Ericales,Magnoliopsida,terrestrial
Rhodonia placenta,Rhodonia,Polyporaceae,Polyporales,Agaricomycetes,terrestrial
Rhopographus filicinus,Rhopographus,Incertae sedis,Pleosporales,Dothideomycetes,terrestrial
Rhus typhina,Rhus,Anacardiaceae,Sapindales,Magnoliopsida,terrestrial
Rhyacia helvetina,Rhyacia,Noctuidae,Lepidoptera,Insecta,terrestrial
Rhyacia simulans,Rhyacia,Noctuidae,Lepidoptera,Insecta,terrestrial
Rhyacophila dorsalis,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,terrestrial
Rhyacophila fasciata,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,terrestrial
Rhyacophila glareosa,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,aquatic
Rhyacophila hirticornis,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,terrestrial
Rhyacophila intermedia,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,aquatic
Rhyacophila pubescens,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,aquatic
Rhyacophila torrentium,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,terrestrial
Rhyacophila tristis,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,aquatic
Rhyacophila vulgaris,Rhyacophila,Rhyacophilidae,Trichoptera,Insecta,terrestrial
Rhynchospora alba,Rhynchospora,Cyperaceae,Poales,Liliopsida,terrestrial
Rhynchostegiella tenella,Rhynchostegiella,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Rhynchostegium confertum,Rhynchostegium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Rhynchostegium murale,Rhynchostegium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Rhynchostegium riparioides,Rhynchostegium,Brachytheciaceae,Hypnales,Bryopsida,aquatic
Rhyparia purpurata,Rhyparia,Erebidae,Lepidoptera,Insecta,terrestrial
Rhyssemus germanus,Rhyssemus,Scarabaeidae,Coleoptera,Insecta,terrestrial
Rhytidiadelphus loreus,Rhytidiadelphus,Hylocomiaceae,Hypnales,Bryopsida,terrestrial
Rhytidiadelphus squarrosus,Rhytidiadelphus,Hylocomiaceae,Hypnales,Bryopsida,terrestrial
Rhytidiadelphus subpinnatus,Rhytidiadelphus,Hylocomiaceae,Hypnales,Bryopsida,terrestrial
Rhytidiadelphus triquetrus,Hylocomiadelphus,Hylocomiaceae,Hypnales,Bryopsida,terrestrial
Rhytidium rugosum,Rhytidium,Rhytidiaceae,Hypnales,Bryopsida,terrestrial
Rhytisma acerinum,Rhytisma,Rhytismataceae,Rhytismatales,Leotiomycetes,terrestrial
Rhytisma salicinum,Rhytisma,Rhytismataceae,Rhytismatales,Leotiomycetes,terrestrial
Ribes alpinum,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,terrestrial
Ribes aureum,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,terrestrial
Ribes nigrum,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,terrestrial
Ribes petraeum,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,terrestrial
Ribes rubrum,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,terrestrial
Riccardia multifida,Riccardia,Aneuraceae,Metzgeriales,Jungermanniopsida,terrestrial
Riccardia multifida multifida,Riccardia,Aneuraceae,Metzgeriales,Jungermanniopsida,terrestrial
Riccardia palmata,Riccardia,Aneuraceae,Metzgeriales,Jungermanniopsida,terrestrial
Riccia glauca,Riccia,Ricciaceae,Marchantiales,Marchantiopsida,terrestrial
Riccia sorocarpa,Riccia,Ricciaceae,Marchantiales,Marchantiopsida,terrestrial
Riccia sorocarpa sorocarpa,Riccia,Ricciaceae,Marchantiales,Marchantiopsida,terrestrial
Rickenella fibula,Rickenella,Rickenellaceae,Hymenochaetales,Agaricomycetes,terrestrial
Rickenella setipes,Omphalina,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Rinodina capensis,Rinodina,Physciaceae,Caliciales,Lecanoromycetes,terrestrial
Rinodina exigua,Rinodina,Physciaceae,Caliciales,Lecanoromycetes,terrestrial
Rinodina orculata,Rinodina,Physciaceae,Caliciales,Lecanoromycetes,terrestrial
Rinodina pyrina,Rinodina,Physciaceae,Caliciales,Lecanoromycetes,terrestrial
Riparia riparia,Riparia,Hirundinidae,Passeriformes,Aves,terrestrial
Ripartites tricholoma,Ripartites,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Rivula sericealis,Rivula,Erebidae,Lepidoptera,Insecta,terrestrial
Robertus lividus,Robertus,Theridiidae,Araneae,Arachnida,terrestrial
Robertus neglectus,Robertus,Theridiidae,Araneae,Arachnida,terrestrial
Robinia pseudoacacia,Robinia,Fabaceae,Fabales,Magnoliopsida,terrestrial
Ropalospora viridis,Ropalospora,Schaereriaceae,Schaereriales,Lecanoromycetes,terrestrial
Rorippa amphibia,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rorippa islandica,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rorippa palustris,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rorippa stylosa,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rorippa sylvestris,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rorippa x anceps,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Rosa abietina,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa agrestis,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa arvensis,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa caesia,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa canina,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa chavinii,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa corymbifera,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa dumalis,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa elliptica,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa gallica,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa glauca,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa majalis,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa micrantha,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa montana,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa multiflora,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa pendulina,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa pseudoscabriuscula,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa rugosa,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa sherardii,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa spinosissima,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa stylosa,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa subcanina,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa subcollina,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa tomentella,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa tomentosa,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosa villosa,Rosa,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rosalia alpina,Rosalia,Cerambycidae,Coleoptera,Insecta,terrestrial
Rosmarinus officinalis,Salvia,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Rostraria cristata,Rostraria,Poaceae,Poales,Liliopsida,terrestrial
Rozites caperatus,Cortinarius,Cortinariaceae,Agaricales,Agaricomycetes,terrestrial
Rubia tinctorum,Rubia,Rubiaceae,Gentianales,Magnoliopsida,terrestrial
Rubus armeniacus,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rubus bifrons,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rubus caesius,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rubus canescens,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rubus hirtus,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Rubus idaeus,Rubus,Rosaceae,Rosales,Magnoliopsida,terrestrial
